,nr,pytanie_po_polsku,pytanie_bez_mcq,pytanie_po_angielsku,odpowiedź,A,B,C,D,E,tags,marked,baza_pytań,część,dziedzina,tematy,,ID
,12,,"Wskaż prawdziwe stwierdzenia dotyczące róży:
1) czynnikiem patogennym jest paciorkowiec β-hemolizujący;
2) może być powikłaniem owrzodzeń w przebiegu niewydolności naczyń żylnych;
3) na twarzy zakażenie zajmuje zwykle policzki i nos, często przyjmując kształt motyla;
4) leczeniem z wyboru jest antybiotykoterapia lekiem o aktywności wobec bakterii gramujemnych;
5) ostre odkłębuszkowe zapalenie nerek jest bardzo często obserwowanym powikłaniem róży. Prawidłowa odpowiedź to:",,,tylko 1.,"1,2.","1,2,3.","1,2,3,4.","2,3,4,5.", medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,13,,"W którym zakażeniu bakteryjnym należy zastosować amoksycylinę jako lek pierwszego rzutu?
1) bakteryjne zapalenie gardła lub migdałków;
2) bakteryjne zapalenie zatok;
3) niepowikłane zapalenie pęcherza moczowego u kobiet;
4) ostre odmiedniczkowe zapalenie nerek;
5) biegunka podróżnych. Prawidłowa odpowiedź to:",,,tylko 1.,tylko 2.,"1,2.","2,4.",wszystkie wymienione., medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,14,,"Rozpoczęcie postępowania poekspozycyjnego można odłożyć do czasu potwierdzenia wścieklizny u zwierzęcia, o ile zwierzę, które naraziło człowieka nie wykazywało objawów choroby podczas ekspozycji i jest możliwa jego 15-dniowa obserwacja weterynaryjna. Wskaż prawdziwe stwierdzenie:",,,"można odłożyć w przypadku zwierząt, które były szczepione przeciwko wściekliźnie i mają udokumentowane szczepienie.","można odłożyć w przypadku wszystkich zwierząt domowych, t.j.: koty, psy, króliki, chomiki, myszki.",można odłożyć w przypadku tylko kotów i psów.,rozpoczęcie postępowania poekspozycyjnego w przypadku podejrzenia wścieklizny należy rozpocząć natychmiast bez zbędnej obserwacji zwierzęcia.,"taka obserwacja jest możliwa u każdego zwierzęcia tylko w przypadku oślinienia uszkodzonej skóry, lekkiego pogryzienia i zadrapania.", medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,15,,"Natychmiastowe zastosowanie antybiotyku w ostrym zapaleniu ucha środkowego jest zalecane u:
1) dzieci poniżej 6. miesiąca życia;
2) dzieci powyżej 2. roku życia, z obustronnym zapaleniem ucha środkowego;
3) dzieci z wysoką gorączką (>39°C), znacznie nasilonymi dolegliwościami bólowymi i wymiotami;
4) chorych z wyciekiem ropnym z ucha;
5) chorych z ograniczonym dostępem do opieki medycznej. Prawidłowa odpowiedź to:",,,wszystkie wymienione.,"1,3,4,5.","2,3,4.",tylko 1.,"1,4.", medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,16,,"U 60-letniej pacjentki, chorującej na chorobę zakrzepowo-zatorową doszło do nagłego pogorszenia stanu zdrowia. Wystąpiła duszność, tachykardia, tachypnoe. Pacjentka prezentuje wyraźny niepokój psychiczny. Wskaż najbardziej prawdopodobną przyczynę tych objawów:",,,zaostrzenie choroby niedokrwiennej serca.,neuralgia nerwu międzyżebrowego.,zatorowość płucna.,zaostrzenie POChP.,zapalenie płuc., medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,17,,"Do lekarza rodzinnego zgłosił się uczeń 7 klasy szkoły podstawowej, na badanie bilansowe. Oceniając rozwój płciowy lekarz stwierdził: jądra wyraźnie się powiększają i mają rozmiar około 3,6 cm. Prącie i moszna powiększają się. Włosy łonowe nadal wyrastają głównie w okolicy grzbietu prącia, ale stają się gęste i kręcone. Prawidłowa ocena wg skali Tannera to:",,,"G1, P1.","G2, P3.","G3, P3.","G4, P4.","G5, P5.", medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,18,,"Prawidłowy osad moczu nie powinien zawierać kryształków:
1) cystyny;
2) fosforanu amonowo-magnezowego;
3) kwasu moczowego;
4) szczawianów wapnia;
5) fosforanów wapnia. Prawidłowa odpowiedź to:",,,tylko 1.,"1,2.","1,2,3.","1,2,3,4.","2,3,4,5.", medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,19,,Wskaż fałszywe stwierdzenie dotyczące wizyty patronażowej:,,,"u zdrowego, urodzonego o czasie noworodka powinna się odbyć w pierwszych 4 tygodniach życia.",u noworodka urodzonego o czasie odbywa się w domu noworodka lub w zakładzie opieki zdrowotnej.,u wcześniaków powinna się odbyć w ciągu 7 dni od wypisania dziecka ze szpitala.,u wcześniaków zawsze odbywa się w domu noworodka.,badanie przedmiotowe w trakcie wizyty patronażowej należy wykonywać w obecności rodziców lub opiekunów noworodka., medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,20,,"Wskaż cechę, która nie jest charakterystyczna dla POChP:",,,postępujący charakter.,zmienność objawów w ciągu dnia.,przewlekła ekspozycja na dym tytoniowy jako czynnik ryzyka.,wdechowe ustawienie klatki piersiowej.,utrata masy ciała., medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,21,,21-dniową antybiotykoterapię należy zastosować w przypadku zapalenia płuc wywołanego przez:,,,Streptococcus pneumoniae.,Legionella pneumophila.,Mycoplasma pneumoniae.,Chlamydia pneumoniae.,Haemophilus influenzae., medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,22,,Typowy obraz elektrokardiograficzny ostrego zawału serca to:,,,"uniesienie odcinka ST w punkcie J, w dwóch sąsiadujących odprowadzeniach, o 2 mm w V1-V3 lub o 1 mm w pozostałych.","uniesienie odcinka ST w punkcie J, w dwóch sąsiadujących odprowadzeniach , o 2 mm w V4-V6 lub o 1 mm w pozostałych.",zmiana morfologii odcinka ST w punkcie J (obniżenie lub uniesienie).,świeży blok prawej odnogi pęczka Hisa.,prawdziwe są odpowiedzi A i D., medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,23,,Wskaż fałszywe stwierdzenie dotyczące wartości parametrów morfologii krwi:,,,w rozmazie krwi obwodowej u niemowlęcia przeważają limfocyty.,w rozmazie krwi obwodowej u dzieci przeważają neutrofile.,najwyższe fizjologicznie wartości leukocytów obserwuje się u noworodka w 2. tygodniu życia.,najwyższe wartości płytek krwi występują u niemowląt.,najniższe wartości hemoglobiny i hematokrytu występują u niemowląt., medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,24,,"3-dawkowy schemat szczepienia w profilaktyce przeciwtężcowej stosuje się, gdy:",,,"historia szczepień jest niepewna, brak dokumentacji, ryzyko wystąpienia tężca jest niskie.","historia szczepień jest niepewna, brak dokumentacji, ryzyko wystąpienia tężca jest wysokie.","ostatnia dawka szczepionki była powyżej 10 lat temu, ryzyko wystąpienia tężca jest wysokie.","ostatnia dawka szczepienia była 1-5 lat temu, ryzyko wystąpienia tężca jest niskie.","ostatnie szczepienie było 5-10 lat temu, ryzyko wystąpienia tężca jest wysokie.", medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,25,,"Wskaż fałszywe stwierdzenia dotyczące chorób nowotworowych:
1) spożycie 10-20 g dziennie alkoholu jest uznanym czynnikiem ryzyka wystąpienia raka wątrobowokomórkowego i dróg żółciowych;
2) do profilaktyki wtórnej raka jelita grubego zalicza się wykonywanie rektosigmoidoskopii co 10 lat;
3) bezobjawowa hiperkalcemia pogarsza rokowanie u chorego na nowotwór;
4) sensowność wykonywania badań obrazowych lub badań krwi w profilaktyce chorób nowotworowych u chorych bezobjawowych jest niewielka;
5) pojawienie się gorączki u chorych leczących się cytostatykami wymaga wykonania pilnej morfologii krwi. Prawidłowa odpowiedź to:",,,"1,2,3.","3,4,5.","1,4.","2,4.","3,4.", medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,26,,"Wskaż prawdziwe stwierdzenia dotyczące choroby rozrostowej krwi:
1) w przypadku przewlekłej białaczki szpikowej w 50% stwierdza się obecność chromosomu Philadelfia;
2) guz śródpiersia nigdy nie powoduje zespołu żyły głównej górnej;
3) mediana rozpoznania ostrej białaczki szpikowej to 57. rok życia;
4) ambulatoryjne wykonywanie morfologii krwi i USG jamy brzusznej u dziecka z podejrzeniem ostrej białaczki szpikowej może opóźnić rozpoznanie;
5) konieczne do rozpoznania ostrej białaczki szpikowej jest stwierdzenie minimum 20% komórek blastycznych w rozmazie krwi i/lub szpiku. Prawidłowa odpowiedź to:",,,"1,4,5.","1,5.","1,3,5.","4,5.","2,3,4.", medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,27,,"Wskaż objawy, które mogą towarzyszyć rakowi drobnokomórkowemu płuc:
1) ból barku w guzie Pancoasta;
2) zespół Lamberta-Eatona;
3) zespół Cushinga;
4) ubytek masy ciała;
5) rogowacenie ciemne. Prawidłowa odpowiedź to:",,,"1,4,5.","1,3,4.","1,2,5.","3,4,5.",wszystkie wymienione., medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,28,,Stopień III w skali TNM w raku żołądka oznacza guza naciekającego:,,,błonę podśluzową bez przerzutów odległych.,błonę podśluzowa z obecnością przerzutów odległych.,warstwę mięśniową bez przerzutów odległych.,warstwę mięśniową z obecnością przerzutów odległych.,otrzewną z obecnością przerzutów odległych., medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,29,,Wskaż prawdziwe stwierdzenie dotyczące raków skóry:,,,rak podstawnokomórkowy zazwyczaj rozwija się przed 40. rokiem życia.,rak kolczystokomórkowy jest najczęściej występującym rakiem skóry.,rak podstawnokomórkowy charakteryzuje się szybkim wzrostem i łatwością w krwawieniu.,szczególnie narażeni na rozwój czerniaka złośliwego są pacjenci z licznymi znamionami i historią oparzenia II stopnia w dzieciństwie.,najbardziej złośliwą formą czerniaka jest postać rozwijająca się ze złośliwej plamy soczewicowatej., medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,30,,"Wskaż prawdziwe stwierdzenia dotyczące raka drobnokomórkowego płuc:
1) podwyższenie stężenia dehydrogenazy mleczanowej jest złym wskaźnikiem rokowniczym;
2) pojawienie się wymiotów kilka dni po zastosowaniu leczenia jest charakterystyczne dla chemioterapeutyków stosowanych w trakcie leczenia raka drobnokomórkowego płuc;
3) leczenie operacyjne jest preferowaną metodą leczenia;
4) zdjęcie RTG to najskuteczniejsza metoda obrazowania odpowiedzi na chemioterapię;
5) guz w przypadku raka drobnokomórkowego płuc może być czynny neuroendokrynnie. Prawidłowa odpowiedź to:",,,"1,2,3.","1,2.","2,3,4.","4,5.","1,2,5.", medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,31,,"Wskaż prawdziwe stwierdzenia dotyczące gruczolakowłókniaka piersi (fibroadenoma):
1) objawem odróżniającym fibroadenoma od ropnia jest, np. objaw chełbotania typowy dla zmiany ropnej;
2) guz piersi powinien być oceniony według 5-stopiowej skali Birads;
3) ujemny wynik BAC wyklucza obecność raka;
4) późna menarche zwiększa ryzyko jego wystąpienia;
5) klinicznie jest trudny do odróżnienia od guza liściastego piersi. Prawidłowa odpowiedź to:",,,"1,2,5.","1,3,5.","1,5.","1,2,3,4.","2,3,4,5.", medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,32,,"Wskaż prawdziwe stwierdzenia dotyczące profilaktyki raka szyjki macicy:
1) szczepionka Cervarix jest refundowana po ukończeniu 9. roku życia;
2) przyjęcie schematu 1-dawkowego daje porównywalną skuteczność do schematu 2dawkowego;
3) dzieci po ukończeniu 15. roku życia powinny przyjąć schemat 3-dawkowy;
4) u dzieci między 9. a 14. rokiem życia, jeżeli między 1. a 2. dawką odstęp wynosił mniej niż 5 miesięcy zawsze należy podać trzecią dawkę;
5) kobiet w ciąży nie należy szczepić szczepionką Cervarix. Prawidłowa odpowiedź to:",,,wszystkie wymienione.,"1,3,4,5.","1,5.","1,3,4.","2,3,4,5.", medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,33,,"Wskaż prawdziwe stwierdzenia dotyczące bólu i jego możliwej przyczyny:
1) ból w nocy – ból nowotworowy;
2) ból zmniejszający się w pozycji siedzącej i stojącej, zwiększający w leżącej, z uczuciem ciasnoty w brzuchu – kompresyjne złamanie trzonów kręgowych;
3) ból zwiększający się w pozycji siedzącej – stenoza kanału kręgowego;
4) ból pojawiający się przy kaszlu – przepuklina jądra miażdżystego;
5) ból zmniejszający się w pozycji siedzącej – stenoza kanału kręgowego. Prawidłowa odpowiedź to:",,,"1,3,5.","1,4,5.","1,2,3.","1,3,4.","2,3,4,5.", medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,34,,"Wskaż prawdziwe stwierdzenia dotyczące parazytozy wywołanej owsikiem ludzkim:
1) w jelicie grubym dochodzi do zmian nieżytowych mogących wywoływać zapalenie wyrostka robaczkowego;
2) najczęstszymi objawami są świąd w okolicy odbytu, ból brzucha i nadmierna pobudliwość ruchowa;
3) w leczeniu farmakologicznym stosuje się pyrantel w dawce 10 mg/kg m.c. w dawce jednorazowej, nie przekraczając dawki maksymalnej 2 g;
4) do zakażenia dochodzi drogą pokarmową przez połknięcie jaj unoszących się w kurzu domowym;
5) może dochodzić do autoendoinwazji zwłaszcza u osób z zaparciami. Prawidłowa odpowiedź to:",,,"1,2,4,5.","1,2,3,4.","1,2,4.","2,4,5.","1,3,5.", medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,35,,"Wskaż prawdziwe stwierdzenia dotyczące antybiotykoterapii w gabinecie lekarza rodzinnego:
1) u osób dorosłych z pozaszpitalnym zapaleniem płuc o łagodnym przebiegu, lekiem pierwszego rzutu jest cefuroksym;
2) u 2-miesięcznego dziecka z podejrzeniem zapalenia płuc możliwym czynnikiem etiologicznym jest Chlamydia trachomatis;
3) jednym z niekorzystnych czynników rokowniczych w leczeniu pozaszpitalnym w skali CRUB65 jest liczba oddechów powyżej 30;
4) u osób starszych pozaszpitalne zapalenie płuc może przebiegać bez gorączki, ale z zaburzeniami świadomości;
5) w przypadku zakażenia patogenami atypowymi może pojawić się świszczący oddech. Prawidłowa odpowiedź to:",,,"1,2,3.","1,2,3,4.","2,3,4,5.","2,3,5.","1,4,5.", medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,36,,"Wskaż prawdziwe stwierdzenia dotyczące gruźlicy w Polsce:
1) w przypadku chorych na gruźlicę, przewlekle prątkujących, leczenie prowadzi się zgodnie z antybiogramem;
2) w przypadku gruźlicy noworozpoznanej schemat terapeutyczny zaczyna się od dwóch leków;
3) leczenie gruźlicy prosówkowej trwa minimum 18 miesięcy;
4) gruźlica pierwotna zazwyczaj dotyczy dzieci;
5) objawy to najczęściej gorączka, nocne poty, najpierw suchy kaszel, a następnie produktywny. Prawidłowa odpowiedź to:",,,"1,2,3.","1,3,4.","1,4,5.","3,4,5.",wszystkie wymienione., medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,37,,"Wskaż prawdziwe stwierdzenia dotyczące witaminy D3:
1) pokarmy bogate w witaminę D3 to np. węgorz świeży, sardynki, żółtko jajka kurzego, ser;
2) suplementację witaminą wprowadza się od pierwszych dni życia, u noworodka donoszonego, w dawce 400 j.m./24 h;
3) jej niedobór jest czynnikiem ryzyka rozwoju m.in. depresji, choroby Alzheimera, stwardnienia rozsianego;
4) dieta wegetariańska jest jednym z czynników ryzyka jej niedoboru;
5) suplementacja witaminy obniża ryzyko zachorowania na cukrzycę typu I. Prawidłowa odpowiedź to:",,,"1,2,3.","1,2,4.","2,3,4.","1,3,4.",wszystkie wymienione., medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,38,,"Wskaż prawdziwe stwierdzenia dotyczące nadciśnienia tętniczego:
1) nadciśnienie tętnicze II stopnia jest rozpoznawane przy ciśnieniu skurczowym o wartości 160- 179 mmHg;
2) przeciwwskazaniem do stosowania diuretyków tiazydowych jest dna moczanowa;
3) lekami hipotensyjnymi preferowanymi u pacjenta z rozpoznaną cukrzycą i białkomoczem są inhibitory konwertazy angiotensyny lub antagoniści receptora angiotensyny;
4) chorzy na astmę nie powinni być leczeni beta-adrenolitykami niekardioselektywnymi;
5) u osób powyżej 80. roku życia z wyjściowym ciśnieniem tętniczym skurczowym >160 mmHg, lekarz rodzinny będzie dążył do obniżenia ciśnienia tętniczego skurczowego do 140-150 mmHg. Prawidłowa odpowiedź to:",,,"1,2,3.","1,2,4.","1,3,4,5.","2,3,4.",wszystkie wymienione., medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,39,,"Wskaż prawdziwe stwierdzenia dotyczące zawału serca:
1) ból uciskający za mostkiem, mogący promieniować do prawej ręki lub żuchwy jest typowy dla zawału serca;
2) u osób po 75. roku życia zawał serca może manifestować się jako ból w nadbrzuszu bez uchwytnej przyczyny;
3) troponiny nie umożliwiają różnicowania między NSTEMI i niestabilną dławicą piersiową;
4) lekarz rodzinny po wykonaniu EKG i stwierdzeniu zawału serca powinien podać pacjentowi kwas acetylosalicylowy w dawce 125-325 mg przed przyjazdem pogotowia ratunkowego;
5) osłuchowo, ostrej niewydolności lewej komory serca mogą towarzyszyć rzężenia. Prawidłowa odpowiedź to:",,,"1,3,4.","1,2,4,5.","2,3,5.","1,2,5.",wszystkie wymienione., medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,40,,"Wskaż prawdziwe stwierdzenia dotyczące pokrzywki:
1) do metod diagnostycznych zalicza się próby wysiłkowe, wibracyjne, świetlne;
2) w przypadku przewlekłej pokrzywki spontanicznej należy oznaczyć stężenie hormonów tarczycy;
3) w zaostrzeniach można stosować krótkotrwałą glikokortykoterapię systemową (CRUSH Therapy);
4) u kobiet w ciąży nie stosuje się glikokortykosteroidów systemowych;
5) w przypadku utrzymujących się zmian można zastosować leczenie biologiczne. Prawidłowa odpowiedź to:",,,"1,2,3.","3,4,5.","1,2,4.","1,2,3,5.",wszystkie wymienione., medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,41,,"Wskaż prawdziwe stwierdzenia dotyczące gorączki u dziecka w gabinecie POZ:
1) gorączka oporna na leczenie lekami przeciwgorączkowymi oraz antybiotykami jest typowa dla Choroby Kawasakiego;
2) u noworodków dopuszczalne jest przeprowadzenie pomiaru temperatury umieszczając termometr elektroniczny pod pachą;
3) termometry skroniowe nie powinny być wykorzystywane przy podejmowaniu decyzji klinicznych;
4) ochładzanie dziecka z wysoką gorączką nie jest zalecane, ponieważ jest mało skuteczne;
5) u dziecka z gorączką i wysypką nieblednąca pod wpływem ucisku, np. w teście szklanki, powinno nasunąć się podejrzenie posocznicy meningokokowej. Prawidłowa odpowiedź to:",,,"1,4,5.","1,2,5.","3,4,5.","1,3,4.",wszystkie wymienione., medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,42,,Najczęstszą chorobą przewlekłą wśród populacji pacjentów dorosłych w gabinecie lekarza rodzinnego jest:,,,przewlekła choroba niedokrwienna serca.,zmiany zwyrodnieniowe kręgosłupa.,cukrzyca insulinoniezależna.,nadciśnienie tętnicze pierwotne.,nadciśnienie tętnicze wtórne., medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,43,,Wskaż możliwą przyczynę wzrostu ilości płytek krwi w badaniu morfologii:,,,zakażanie HIV.,cytostatyki.,alkohol etylowy.,odra.,splenektomia., medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,44,,Wskaż czynniki pogarszające rokowanie wyleczenia raka podstawnokomórkowego: 1) średnica guza powyżej 1 cm; 2) średnica guza powyżej 2 cm; 3) lokalizacja na skórze owłosionej głowy; 4) lokalizacja w strefie H; 5) lokalizacja na wewnętrznej stronie dłoni i stóp. Prawidłowa odpowiedź to:,,,"1,3,4.","2,3,5.","1,2,5.","2,3,4.","1,3,5.", medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,45,,Objaw Hutchinsona (zajęcie wałów paznokciowych) jest charakterystyczny dla:,,,postaci akralnej czerniaka.,postaci bezbarwnikowej raka skóry.,raka podstawnokomórkowego.,znamion barwnikowych.,znamion dysplastycznych., medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,46,,Incydentaloma najczęściej to przypadkowe stwierdzenie:,,,nadciśnienia tętniczego.,hipertrójglicerydemii.,guza nadnercza.,guza tarczycy.,guza przysadki., medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,47,,W obrazie klinicznym raka nerki mogą występować następujące cechy zespołu paranowotworowego:,,,"gorączka, erytrocytoza, niedokrwistość, hipokalcemia, nadciśnienie tętnicze.","gorączka, erytrocytoza, niedokrwistość, hiperkalcemia, nadciśnienie tętnicze.","gorączka, erytrocytoza, niedokrwistość, hipokaliemia, nadciśnienie tętnicze.","gorączka, erytrocytoza, niedokrwistość, hiperkaliemia, nadciśnienie tętnicze.","gorączka, erytrocytoza, niedokrwistość, hiponatremia, nadciśnienie tętnicze.", medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,48,,Do objawów zespołów paranowotworowych w raku płuca nie zalicza się zespołu:,,,Cushinga.,hiperkalcemicznego.,nadmiernego wydzielania wazopresyny (SIADH).,DIC.,Zollingera-Ellisona., medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,49,,"Wskaż czynniki rozwoju raka przełyku:
1) palenie papierosów i alkohol;
2) rak głowy i szyi w wywiadzie;
3) oparzenia przełyku;
4) zespół Plummera-Vinsona;
5) zespół Zollingera-Ellisona. Prawidłowa odpowiedź to:",,,"1,2,3,4.","1,2,3,5.","2,3,4,5.","1,2.","3,5.", medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,50,,"Do późnych powikłań raka żołądka, mogących być także jego pierwszymi objawami nie należy:",,,wodobrzusze.,nudności i odbijanie.,niedrożność przewodu pokarmowego.,krwawienie z przewodu pokarmowego.,żółtaczka., medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,51,,Do nowotworów złośliwych wątroby zalicza się:,,,"rak wątrobowokomórkowy (HCC), rak wewnątrzwątrobowych dróg żółciowych (CCC), gruczolak.","rak wątrobowokomórkowy (HCC), rak wewnątrzwątrobowych dróg żółciowych (CCC), przerzuty nowotworowe.","rak wątrobowokomórkowy (HCC), rak wewnątrzwątrobowych dróg żółciowych (CCC), ogniskowy rozrost guzkowy (FNH).","rak wątrobowokomórkowy (HCC), ogniskowy rozrost guzkowy (FNH), gruczolak.","rak wątrobowokomórkowy (HCC), przerzuty nowotworowe, gruczolak.", medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,52,,"W diagnostyce różnicowej zatorowości płuc należy uwzględnić:
1) choroby płuc (astma, POChP, zapalenie płuc i opłucnej, ARDS);
2) choroby układu sercowo-naczyniowego (ostry zespół wieńcowy, niewydolność serca);
3) neuralgię nerwu międzyżebrowego;
4) wstrząs kardiogenny;
5) zespół Brugadów. Prawidłowa odpowiedź to:",,,"2,3,4,5.","1,2,3,5.","1,2,4,5.","1,2,3,4.","1,3,4,5.", medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,53,,"Nadciśnienie tętnicze oporne można rozpoznać u pacjenta, u którego pomimo wprowadzenia modyfikacji stylu życia oraz zastosowania następujących grup leków hipotensyjnych nie uzyskano docelowych wartości ciśnienia tętniczego:",,,"beta-adrenolityk, ACEI, antagonista kanału wapniowego.","beta-adrenolityk, ACEI, antagonista receptora angiotensynowego.","ACEI, antagonista receptora angiotensynowego, antagonista kanału wapniowego.","ACEI, diuretyk, antagonista kanału wapniowego.",żadna z powyższych odpowiedzi., medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,54,,"Do objawów klinicznych mogących wskazywać na niedoczynność tarczycy należą:
1) nerwowość, niepokój, problemy ze snem;
2) spowolnienie, osłabienie, nadmierna senność;
3) utrata masy ciała mimo wzmożonego apetytu;
4) umiarkowany wzrost masy ciała;
5) uczucie gorąca i nadmierna potliwość;
6) suchość oraz szorstkość skóry. Prawidłowa odpowiedź to:",,,"1,3,5.","1,2,3.","2,4,5.","1,3,6.","2,4,6.", medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,55,,W leczeniu zespołu jelita nadwrażliwego nie stosuje się:,,,leków przeczyszczających o działaniu osmotycznym.,dużych dawek witaminy D.,leków psychotropowych mających dodatkowo działanie cholinolityczne.,ryfaksyminy.,probiotyków., medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,56,,"W leczeniu glistnicy stosuje się:
1) metronidazol w dawce 750-1500 mg/dobę w 3 dawkach przez 5-10 dni;
2) tynidazol u dzieci powyżej 12 roku życia i dorosłych 2 g jednorazowo;
3) pyrantel w dawce jednorazowej 10 mg/kg m.c.;
4) mebendazol w dawce 100 mg 2 razy dziennie przez 3 dni;
5) albendazol jednorazowo 400 mg. Prawidłowa odpowiedź to:",,,"1,2,3.","2,3,4.","3,4,5.","1,3,5.","2,5.", medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,57,,"W postępowaniu leczniczym, w krótkotrwałym wysiękowym zapaleniu ucha środkowego zaleca się:",,,obserwację przez około 3-6 miesięcy.,obserwację nie dłużej niż 1 miesiąc.,antybiotyk.,donosowy glikokortykosteroid.,leki przeciwhistaminowe., medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,58,,Antybiotykiem z wyboru w leczeniu bakteryjnego zapalenia zatok jest:,,,"amoksycylina w dawce dla dorosłych 1,5-2,0 g, podzielona na 2 dawki, podawana przez 7-10 dni.","amoksycylina w dawce dla dorosłych 1,5-2,0 g, podzielona na 2 dawki, podawana przez 10-14 dni.","amoksycylina z kwasem klawulanowym w dawce dla dorosłych 2,0 g, podzielona na 2 dawki, podawana przez 7 dni.","cefuroksym w dawce dla dorosłych 1,0 g podzielony na 2 dawki, podawany przez 5 dni.","cefuroksym w dawce dla dorosłych 1,0 g, podzielony na 2 dawki, podawany przez 7 dni.", medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,59,,Lekami z wyboru w leczeniu krztuśca są:,,,"amoksycylina, doksycyklina, klarytromycyna.","cefuroksym, amoksycylina, doksycyklina.","cefuroksym, doksycyklina, erytromycyna.","azytromycyna, klarytromycyna, erytromycyna.","amoksycylina, azytromycyna, doksycyklina.", medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
,60,,"Nietypowe lub pozaprzełykowe objawy choroby refluksowej przełyku to:
1) ból gardła;
2) bezgłos;
3) świszczący oddech;
4) bóle w klatce piersiowej;
5) zapalenie dziąseł. Prawidłowa odpowiedź to:",,,tylko 4.,"1,2,3,4.","3,4.",wszystkie wymienione.,żadna z wymienionych., medycyna_rodzinna,,CEM,część_2,medycyna_rodzinna,,medycyna_rodzinna,
