id,nr,pytanie,odpowiedź,A,B,C,D,E,tags,termin,przedmiot,temat,boards_and_beyond
,243,Wskaż prawdziwe stwierdzenie dotyczące chłoniaka rozlanego z dużych komórek B:,A,jest nowotworem potencjalnie wyleczalnym.,"leczeniem z wyboru jest monoterapia pojedynczym cytostatykiem, niezależnie od stopnia zaawansowania klinicznego nowotworu.",przebieg choroby jest zawsze powolny.,w pierwszej linii leczenia preferowana jest allotransplantacja komórek krwiotwórczych.,należy do najrzadziej występujących chłoniaków.,choroby_wewnętrzne,,"hematologia, onkologia",chłoniak,
,244,Do czynników ryzyka zawartych w karcie SCORE należą:,D,"wiek, płeć, cholesterol całkowity, ciśnienie tętnicze rozkurczowe, nikotynizm.","płeć, cholesterol całkowity, ciśnienie tętnicze skurczowe, nikotynizm, BMI.","wiek, płeć, LDL, ciśnienie tętnicze skurczowe, nikotynizm.","wiek, płeć, cholesterol całkowity, ciśnienie tętnicze skurczowe, nikotynizm. 2 2","wiek, płeć, LDL, ciśnienie tętnicze rozkurczowe, nikotynizm.",choroby_wewnętrzne,,kardiologia,,
,245,78-letni chory został przyjęty do szpitala w celu leczenia pozaszpitalnego zapalenia płuc. Jakie jest najbardziej właściwe leczenie takiego zapalenia płuc?,D,wankomycyna.,metronidazol.,fosfomycyna.,amoksycylina z kwasem klawulanowym.,gentamycyna.,choroby_wewnętrzne,,pulmonologia,zapalenie płuc,
,246,Pogotowie przywiozło na izbę przyjęć 72-letniego chorego z silnym bólem zamostkowym występującym od 40 minut. U chorego rozpoznano ostry zawał mięśnia sercowego z uniesieniem odcinka ST. Wskaż preferowaną metodę leczenia u tego pacjenta:,E,doustna podaż nitrogliceryny.,dożylna podaż nitrogliceryny.,leczenie fibrynolityczne z użyciem streptokinazy.,leczenie fibrynolityczne z użyciem tkankowego aktywatora plazminogenu.,jak najszybsza pierwotna przezskórna interwencja wieńcowa.,choroby_wewnętrzne,,kardiologia,,
,247,Do leków pierwszego rzutu w pierwotnym nadciśnieniu tętniczym nie należą:,A,antagoniści aldosteronu.,blokery kanału wapniowego.,β-blokery.,inhibitory konwertazy angiotensyny.,diuretyki tiazydowe.,choroby_wewnętrzne,,kardiologia,,
,248,Zwiększenie zewnątrzkomórkowej objętości płynów w niewydolności nerek jest skutkiem retencji soli i wody. Wskaż fałszywą konsekwencję przewodnienia:,D,zwiększenie masy ciała.,obrzęki.,podwyższone ciśnienie żylne.,hipernatremia.,anemia.,choroby_wewnętrzne,,nefrologia,,
,249,Triada Charcota to zespół objawów typowych dla:,E,krwawienia z wrzodu dwunastnicy.,przewlekłego zapalenia trzustki.,stłuszczenia wątroby.,raka jelita grubego.,zapalenia dróg żółciowych.,choroby_wewnętrzne,,neurologia,,
,250,"82-letnia chora została przywieziona przez zespół ratownictwa medycznego do szpitalnego oddziału ratunkowego z powodu nagłego pogorszenia stanu ogólnego, obniżenia ciśnienia tętniczego, majaczenia. Chora przebywała w zakładzie opiekuńczoleczniczym z powodu porażenia połowiczego po udarze. Z powodu nietrzymania moczu chora jest przewlekle zacewnikowana. W worku widoczny mętny mocz. Potwierdzenie rozpoznania urosepsy wymaga stwierdzenia:",E,wzrostu stężenia CRP w surowicy.,wzrostu stężenia kreatyniny w surowicy.,bakteriurii w moczu pobranym po wymianie cewnika.,wzrostu stężenia prokalcytoniny w surowicy.,bakteriemii.,choroby_wewnętrzne,,"nefrologia, choroby_zakaźne",,
,251,"Do najczęstszych lokalizacji guza gastrynowego (gastrinoma) należą:
1) żołądek;
2) dwunastnica;
3) pęcherzyk żółciowy;
4) trzustka;
5) wyrostek robaczkowy.
Prawidłowa odpowiedź to:",C,"1,3.","1,4.","2,4.","2,5.","4,5.",choroby_wewnętrzne,,gastroenterologia,,
,252,"Do lekarza pierwszego kontaktu zgłosiła się pacjentka, przyjmująca związek litu ze wskazań psychiatrycznych, poza tym nielecząca się przewlekle z przyczyn internistycznych. Zgłasza uczucie zmęczenia, zmniejszoną tolerancję wysiłku, uczucie chłodu, łatwe marznięcie oraz zaparcia. Jakie podłoże zgłaszanych dolegliwości można podejrzewać u tej pacjentki?",A,niedoczynność tarczycy w przebiegu leczenia związkiem litu.,niedoczynność przytarczyc w przebiegu leczenia związkiem litu.,niedoczynność kory nadnerczy w przebiegu leczenia związkiem litu.,"prawdziwe są odpowiedzi A,B.","prawdziwe są odpowiedzi A,C.",choroby_wewnętrzne,,endokrynologia,,
,253,W celu oceny uszkodzenia nerek u pacjenta z cukrzycą t. 2 należy badać:,B,wydalanie białka z moczem oraz filtrację kłębuszkową co 5 lat.,wydalanie białka z moczem oraz filtrację kłębuszkową co rok.,wydalanie glukozy z moczem oraz filtrację kłębuszkową co rok.,wydalanie glukozy z moczem oraz filtrację kłębuszkową co 5 lat.,filtrację kłębuszkową oraz wykonywać badanie ogólne moczu co 6 miesięcy.,choroby_wewnętrzne,,nefrologia,,
,254,"Wskaż prawdziwe informacje na temat zespołu Alporta z dziedziczeniem związanym z płcią:
1) jest spowodowany dziedzicznym zaburzeniem syntezy łańcucha alfa 5 kolagenu typu IV i prowadzi do schyłkowej niewydolności nerek;
2) kobiety (heterozygoty) są zdrowymi nosicielkami genu lub choroba przebiega u nich łagodnie;
3) krwinkomocz i białkomocz pojawia się u płci męskiej około 10. roku życia;
4) leczenie cyklosporyną hamuje rozwój choroby;
5) inhibitory enzymu konwertującego angiotensynę stosowane są w celu zmniejszenia białkomoczu.
Prawidłowa odpowiedź to:",D,"1,3,5.","1,3,4.","1,4,5.","1,2,5.","2,4,5.",choroby_wewnętrzne,,nefrologia,,
,255,"Wskaż czynniki predysponujące do nefropatii kontrastowej:
1) przewlekła choroba nerek, eGFR< 60 ml/min/1,73 m ;
2) odwodnienie;
3) szpiczak plazmocytowy;
4) stosowanie inhibitorów pompy protonowej;
5) stosowanie niesteroidowych leków przeciwzapalnych.
Prawidłowa odpowiedź to:",A,"1,2,3,5.","1,2,4,5.","1,2,3.","2,3,5. 2",wszystkie wymienione.,choroby_wewnętrzne,,nefrologia,,
,256,"Pacjentka l. 29 gorączkująca od 2 tygodni do 38°C, mimo leczenia NLPZ, skarży się na ból szyi promieniujący do ucha. W badaniach dodatkowych OB po 1 h 70 mm (N do 12), TSH 0,11 mIU/l (N 0,27 - 4,2), leukocyty - 5600/mm . W pierwszym rzędzie należy wziąć pod uwagę podejrzenie:",C,raka tarczycy.,"ostrego, ropnego zapalenia tarczycy.",podostrego zapalenia tarczycy.,choroby Graves-Basedowa.,choroby Hashimoto.,choroby_wewnętrzne,,endokrynologia,,
,257,Stężenie we krwi których jonów należy oznaczyć w pierwszej kolejności u osoby z napadami tężyczki?,D,magnezu.,sodu.,potasu.,wapnia.,cynku.,choroby_wewnętrzne,,endokrynologia,,
,258,Wskaż fałszywe stwierdzenie dotyczące automatycznego monitorowania ciśnienia tętniczego (ABPM):,D,wskazaniem do wykonania ABPM jest podejrzenie nadciśnienia tętniczego białego fartucha.,wskazaniem do wykonania ABPM jest podejrzenie nadciśnienia tętniczego ukrytego.,wskazaniem do wykonania ABPM jest podejrzenie nadciśnienia tętniczego opornego na leczenie. 3,"za prawidłowe przyjmuje się średnie ciśnienie tętnicze w ciągu dnia < 140/90 mmHg, w ciągu nocy < 125/75 mmHg i w ciągu doby < 135/85 mmHg.","ciśnienie tętnicze jest rejestrowane automatycznie, zwykle co 15-20 min w dzień i co 30 min w nocy.",choroby_wewnętrzne,,kardiologia,,
,259,"Wskaż niekorzystne prognostycznie czynniki ostrego kłębuszkowego zapalenia nerek:
1) krwinkomocz i wałeczki erytrocytarne w moczu;
2) wysokie miano antystreptolizyny 0;
3) utrzymujący się białkomocz przekraczający 2 g/dobę;
4) obniżenie przesączania kłębuszkowego < 40 ml/min;
5) obniżenie aktywności hemolitycznej dopełniacza i składowej C3.
Prawidłowa odpowiedź to:",E,"1,2,3.","1,3,5.","1,2,5.","2,5.","3,4.",choroby_wewnętrzne,,nefrologia,,
,260,Skala ryzyka GRACE ułatwia podejmowanie decyzji o postępowaniu terapeutycznym u chorych:,B,z zawałem serca z uniesieniem odcinka ST (STEMI).,z zawałem serca bez uniesienia odcinka ST (NSTEMI).,z zatorowością płucną.,ze wstrząsem kardiogennym.,z obrzękiem płuc.,choroby_wewnętrzne,,kardiologia,,
,261,Który z wymienionych czynników odpowiada za nawracające ostre zapalenia trzustki?,D,mutacja genu HFE (C282Y).,regularne spożywanie napojów z dużą zawartością fruktozy.,hiperaldosteronizm.,hipertrójglicerydemia.,ektopowa trzustka w żołądku.,choroby_wewnętrzne,,gastroenterologia,,
,262,"Mężczyzna lat 52, chorujący na nadciśnienie tętnicze - prawidłowo leczone, został przyjęty do Szpitalnego Oddziału Ratunkowego (SOR) z powodu bardzo silnego bólu głowy promieniującego do karku, który wystąpił podczas intensywnej pracy fizycznej. W badaniu przy przyjęciu do SOR stwierdzono: GCS (Glasgow Coma Scale) 15 pkt, ciśnienie tętnicze 140/85 mmHg, objaw Kerniga, sztywność karku na 3 palce. W takiej sytuacji klinicznej spośród badań dodatkowych w pierwszej kolejności należy wykonać:",E,badanie rtg kręgosłupa szyjnego.,badanie elektroencefalograficzne (EEG).,badanie tomografii komputerowej głowy z podaniem kontrastu.,nakłucie lędźwiowe i badanie płynu mózgowo-rdzeniowego.,badanie tomografii komputerowej głowy bez podania kontrastu.,choroby_wewnętrzne,,neurologia,,
,263,"Wskaż leki pierwszego wyboru w leczeniu niepowikłanego zapalenia pęcherza moczowego:
1) norfloksacyna;
2) cefuroksym;
3) furazydyna;
4) fosfomycyna;
5) kotrimoksazol.
Prawidłowa odpowiedź to:",E,"1,3,4.","1,2,3,5.","4,5.","2,3,4,5.","3,4,5.",choroby_wewnętrzne,,nefrologia,,
,264,25-letnia kobieta zgłosiła się do lekarza z powodu kołatania serca występującego od 6 tygodni. Stężenie TSH jest poniżej normy a stężenie FT4 jest powyżej normy. Które z poniższych rozpoznań jest najbardziej prawdopodobne?,B,eutyreoza.,pierwotna nadczynność tarczycy.,pierwotna niedoczynność tarczycy.,wtórna nadczynność tarczycy.,wtórna niedoczynność tarczycy.,choroby_wewnętrzne,,endokrynologia,,
,265,"Zapalenie stawów kręgosłupa może wystąpić w przebiegu:
1) choroby Leśniowskiego i Crohna;
2) łuszczycy;
3) zakażenia przewodu pokarmowego pałeczkami jelitowymi z rodziny Enterobacteriaceae;
4) zakażenia Chlamydia trachomatis.
Prawidłowa odpowiedź to:",E,tylko 1.,"1,2.","3,4.","1,3,4.",wszystkie wymienione.,choroby_wewnętrzne,,gastroenterologia,,
,266,"54-letnia kobieta z rozpoznaną od kilku lat hiperlipidemią, leczona atorwastatyną w dawce 40 mg, zgłosiła się na badania kontrolne. Przyjmuje z powodu nadciśnienia tętniczego ramipril 10 mg. Nie choruje na cukrzycę, w wywiadzie przebyte przemijające niedokrwienie mózgu (TIA). Przedmiotowo: BMI 27,8 kg/m , RR 138/76 mmHg. Wyniki badań: cholesterol całkowity 6,62 mmol/l (255 mg%), LDL-cholesterol 4,34 mmol/l (166 mg%), HDL-cholesterol 0,9 mmol/l (35 mg%), triglicerydy 1,8 mmol/l (160 mg%), ALT w normie. Wskaż postępowanie optymalne w zakresie leczenia zaburzeń lipidowych:",B,dołączenie fibratu.,dołączenie ezetymibu.,dołączenie żywic jonowymiennych.,dołączenie kwasu nikotynowego.,"utrzymanie leczenia, zalecenia dietetyczne i redukcja masy ciała.",choroby_wewnętrzne,,kardiologia,,
,267,"Wskaż cechę, która nie jest charakterystyczna dla przewlekłej obturacyjnej choroby płuc:",D,przewlekły kaszel.,przewlekłe odkrztuszanie plwociny.,"duszność, zwykle codzienna.",duże wahania nasilenia objawów w ciągu dnia i z dnia na dzień.,"narażenie na czynniki ryzyka tej choroby, przede wszystkim dym tytoniowy.",choroby_wewnętrzne,,pulmonologia,POChP,224. COPD_diagnosis
,268,Za zmiany rumieniowate pod wpływem słońca oraz całkowity blok serca u dzieci matek chorujących na toczeń rumieniowaty układowy odpowiadają przeciwciała reagujące z antygenem:,B,Scl-70.,SS-A.,Jo-1.,RNP.,PM100.,choroby_wewnętrzne,,reumatologia,,
,269,Przyczyną zwiększonej objętości krwinek czerwonych (ang. mean corpuscular volume - MCV) może być:,D,niedobór witaminy B . 12,niedobór kwasu foliowego.,niedobór żelaza.,prawdziwe są odpowiedzi A i B.,prawdziwe są odpowiedzi A i C.,choroby_wewnętrzne,,hematologia,,
,270,Która z wymienionych cech nie jest charakterystyczna dla przewlekłej choroby nerek?,C,zwiększenie objętości krwi.,hiperkaliemia.,hipernatremia.,hiperfosfatemia.,kwasica.,choroby_wewnętrzne,,nefrologia,,
,271,"Pacjent lat 34 zgłasza nudności, uczucie rozpierania i gniecenia za mostkiem, zwłaszcza po posiłkach stałych. Dolegliwości te występują od ok. 3 lat, zwłaszcza w okresie letnim i jesiennym. Wcześniej był standardowo leczony w kierunku choroby refluksowej przełyku bez poprawy. W dzieciństwie rozpoznana astma oskrzelowa. W gastroskopii nie stwierdzono zmian makroskopowych, pobrano tylko wycinki do badania hist.-pat. z błony śluzowej przełyku. Najbardziej prawdopodobną przyczyną zgłaszanych dolegliwości jest:",C,zapalenie przełyku w przebiegu refluksu żołądkowo-przełykowego.,nowotwór przełyku.,eozynofilowe zapalenie przełyku.,achalazja przełyku.,przełyk korkociągowaty.,choroby_wewnętrzne,,gastroenterologia,,
,272,"U kobiety lat 32 w 14. tygodniu ciąży wystąpiły silne nudności i wymioty z towarzyszącą utratą masy ciała, dyselektrolitemią, transaminezemią. W diagnostyce różnicowej uwzględnisz niepowściągliwe wymioty ciężarnej, do których predysponują:
1) nadczynność tarczycy;
2) zakażenie H. pylori;
3) otyłość;
4) wcześniejsze zaburzenia psychiczne;
5) wiek.
Prawidłowa odpowiedź to:",E,"1,2.","2,4.","1,2,4.",tylko 2.,wszystkie wymienione.,choroby_wewnętrzne,,gastroenterologia,,
,273,"Wskaż lek, który nie powinien być stosowany jako lek pierwszego rzutu w leczeniu nadciśnienia tętniczego:",D,amlodypina.,losartan.,ramipryl.,klonidyna.,indapamid.,choroby_wewnętrzne,,kardiologia,nadciśnienie tętnicze,
,274,"Do lekarza rodzinnego zgłosiła się 45-letnia chora z cukrzycą typu 2 po powtórzenie recept na nadciśnienie tętnicze. W przypadkowo wykonanym badaniu ogólnym moczu stwierdzono u tej chorej leukocyty, 20-30 w polu widzenia oraz liczne bakterie. Chorej tej należy zalecić:",D,wykonanie posiewu moczu.,antybiotykoterapię przez 3-5 dni empiryczną.,chemioterapeutyk przez 3 dni.,zignorowanie tego wyniku - chora nie wymaga leczenia.,diagnostykę obrazową dróg moczowych.,choroby_wewnętrzne,,kardiologia,nadciśnienie tętnicze,
,275,Do typowych objawów twardziny układowej nie należy/ą:,A,niedokrwistość autoimmunohemolityczna.,obrzęk i twardnienie skóry palców rąk.,zaburzenia rytmu i przewodzenia w sercu.,objaw Raynauda.,włóknienie płuc.,choroby_wewnętrzne,,reumatologia,,
,276,Blok przedsionkowo komorowy I stopnia w EKG można rozpoznać na podstawie:,A,wydłużonego odstępu PQ.,braku załamka P.,braku załamka Q.,braku zespołu QRS po każdym załamku P.,poszerzonego zespołu QRS.,choroby_wewnętrzne,,kardiologia,,
,277,Wskaż lokalizację pola osłuchiwania zastawki aortalnej:,A,II prawe międzyżebrze przy mostku.,II lewe międzyżebrze przy mostku.,IV - V prawe międzyżebrze przy mostku.,V lewe międzyżebrze przyśrodkowo od linii środkowo-obojczykowej.,miejsca uderzenia koniuszkowego serca.,choroby_wewnętrzne,,kardiologia,,
,278,Który z wymienionych niżej leków nie powinien być użyty jako jedyny podczas rozpoczęcia leczenia świeżej zakrzepicy żył głębokich kończyny?,C,rywaroksaban.,apiksaban.,warfaryna.,enoksaparyna.,fondaparynuks.,choroby_wewnętrzne,,pulmonologia,,234. DVT_and_pulmonary_embolism
,279,Który z leków jest stosowany do przerwania ostrego napadu dny moczanowej?,E,indapamid.,furosemid.,allopurinol.,spironolakton.,kolchicyna.,choroby_wewnętrzne,,reumatologia,,129. gout
,280,Chorobą przebiegającą z poszerzeniem układów kielichowo-miedniczkowych obu nerek u starszego mężczyzny z dolegliwościami ze strony dolnych dróg moczowych jest najczęściej:,B,rak pęcherza moczowego.,łagodny rozrost stercza.,zwężenie obustronne moczowodów.,obustronna kamica moczowodowa.,refluks pęcherzowo-moczowodowy.,choroby_wewnętrzne,,nefrologia,,
,281,"62-letni pacjent zgłosił się do szpitala z powodu uczucia bólu zamostkowego, które pojawiło się ok. godziny przed przybyciem do szpitala. W EKG zaobserwowano ujemne załamki T w odprowadzeniach II, III, aVF (jak na rycinie poniżej). Klasyfikację dolegliwości związanych z tymi objawami przedstawia skala:",C,EHRA.,NYHA.,CCS.,prawdziwe są odpowiedzi A i C.,żadna z wymienionych.,choroby_wewnętrzne,,kardiologia,,
,282,Badanie stężenia antygenu rakowo-płodowego (CEA - carcinoembryonic antigen) ma największą wartość w diagnostyce raka:,C,piersi.,płuca.,jelita grubego.,trzustki.,żołądka.,choroby_wewnętrzne,,gastroenterologia,,81. colon_cancer
,283,"29-letnia pacjentka zgłosiła się do izby przyjęć z powodu bólów brzucha, gorączki do 40°C z dreszczami oraz nudności. W badaniach dodatkowych CRP 120 mg/L (N<5 mg/ L), leukocytoza 16 tys./mm , w badaniu ogólnym moczu stwierdzono: ciężar właściwy 1,030 g/mL; białko - 1,2 g/L; L 30-50 wpw + liczne w skupiskach; erytrocyty 10-20 świeże wpw. Najbardziej prawdopodobnym rozpoznaniem u tej chorej jest:",D,ostre kłębuszkowe zapalenie nerek.,przewlekłe kłębuszkowe zapalenie nerek. 3,zapalenie pęcherza moczowego.,ostre odmiedniczkowe zapalenie nerek.,toczeń rumieniowaty.,choroby_wewnętrzne,,nefrologia,,
,284,W ostrym napadzie dny moczanowej stosuje się:,C,allopurinol.,furosemid.,kolchicynę.,β-blokery.,fenoterol.,choroby_wewnętrzne,,reumatologia,,
,285,"Pacjent lat 38, przyjęty do szpitala z powodu występujących od 24 godzin bólów głowy, splątania, niedowładu połowiczego prawostronnego i dysfazji. Ponadto stwierdzono opryszczkę wargową, temperaturę 38,6°C i sztywność karku na 3 palce. Wykonano badanie płynu mózgowo-rdzeniowego i stwierdzono pleocytozę 250 leukocytów/mm z czego 90% to limfocyty, stężenie białka 70 mg/dl, stężenie glukozy 60 mg/dl (w surowicy 85 mg/dl). Badanie rezonansu magnetycznego głowy wykazało wzmocnienie sygnału w sekwencji FLAIR przyśrodkowej części płata skroniowego lewego. Do otrzymania wyników badań mikrobiologicznych i badania PCR lekiem o działaniu przyczynowym na czynnik etiologiczny z wyboru w tej sytuacji jest:",A,acyklowir.,cefalosporyna III generacji np. ceftriakson.,glikokortykosteroidy.,20% mannitol.,amoksycylina z kwasem klawulanowym.,choroby_wewnętrzne,,neurologia,zapalenie opon mózgowych,
,286,Bezobjawowy bakteriomocz jest wskazaniem do antybiotykoterapii:,C,w razie współistniejącej leukocyturii. 3,u chorych na cukrzycę.,u ciężarnych.,u chorych z uszkodzeniem rdzenia kręgowego.,u chorych z cewnikiem założonym do pęcherza moczowego.,choroby_wewnętrzne,,nefrologia,,254. urinary_infections
,287,"Wskazaniem do zastosowania czasowej insulinoterapii u pacjenta chorego na cukrzycę typu 2 stosującego preparat metforminy i saksagliptyny jest:
1) każda glikemia powyżej 300 mg/dl;
2) każde zapalenie gardła;
3) udar niedokrwienny mózgu;
4) zabieg operacyjny;
5) podróż związana ze zmianą strefy czasowej.
Prawidłowa odpowiedź to:",E,"1,3.","2,4.","2,3.","2,5.","3,4.",choroby_wewnętrzne,,endokrynologia,cukrzyca,45. diabetes_mellitus
,288,Typowo w reumatoidalnym zapaleniu stawów nie są zajęte stawy:,D,nadgarstkowe.,śródręczno-paliczkowe.,międzypaliczkowe bliższe.,międzypaliczkowe dalsze.,kolanowe.,choroby_wewnętrzne,,reumatologia,RZS,127. arthritis_I
,289,"Wskaż, co nie jest cechą ostrego zespołu nefrytycznego:",C,obrzęki.,krwiomocz.,duży białkomocz.,wałeczki erytrocytarne.,nadciśnienie tętnicze.,choroby_wewnętrzne,,nefrologia,,250. nephritic_syndrome
,290,"Do leków pierwszego rzutu stosowanych w terapii empirycznej niepowikłanych zakażeń układu moczowego u kobiet niebędących w ciąży, nie należy:",C,kotrimoksazol.,trimetoprim.,cyprofloksacyna.,furazydyna.,fosfomycyna.,choroby_wewnętrzne,,nefrologia,,254. urinary_infections
,291,Czynnikiem nie mającym wpływu (korzystnego lub niekorzystnego) na występowanie raka jelita grubego jest:,E,palenie papierosów.,wiek > 50. r.ż.,stosowanie aspiryny.,otyłość.,terapia inhibitorami konwertazy angiotensyny lub antagonistami receptora angiotensynowego.,choroby_wewnętrzne,,gastroenterologia,,81. colon_cancer
,292,"Pacjent l. 77 leczony od kilku lat z powodu kamicy nerkowej skarży się na uogólnione bóle kostne. W badaniach dodatkowych stężenie wapnia 12,3 mg/dl (N: 8,5-10,5 mg/dl), dobowe wydalanie wapnia 480 mg/24h (N: 150-300 mg/24h), PTH 227 pg/ml (N: 15-65 pg/ml). W pierwszym rzędzie należy podejrzewać:",B,hiperkalcemię nowotworową.,pierwotną nadczynność przytarczyc.,wtórną nadczynność przytarczyc.,rzekomą niedoczynność przytarczyc.,przedawkowanie witaminy D.,choroby_wewnętrzne,,endokrynologia,,252. nephrolithiasis
,293,U 65-letniego chorego leczonego 4 lekami z powodu nadciśnienia tętniczego doszło do pierwszego w życiu napadu dny moczanowej. Który z leków stosowanych w leczeniu nadciśnienia tętniczego jest najprawdopodobniej odpowiedzialny za wywołanie napadu dny moczanowej u tego chorego?,C,bisoprolol.,amlodypina.,indapamid.,losartan.,żaden z powyższych leków nie zwiększa ryzyka napadu dny moczanowej.,choroby_wewnętrzne,,kardiologia,,
,294,"Jakie są wskazania do zastosowania glukokortykosteroidów w leczeniu gruźlicy?
1) niedoczynność nadnerczy wywołana gruźlicą nadnerczy;
2) serowate zapalenie płuc;
3) ostre zapalenie osierdzia;
4) zapalenie opon mózgowo-rdzeniowych i mózgu z objawami zwiększonego ciśnienia wewnątrzczaszkowego;
5) gruźlica kręgosłupa.
Prawidłowa odpowiedź to:",C,"1,2.","2,3,5.","1,3,4.","2,4,5.","2,5.",choroby_wewnętrzne,,pulmonologia,,125. tuberculosis
,295,"Rozpoznanie jakiej skazy krwotocznej sugeruje następujący koagulogram: PT 8,5 s (N: 12-16 s), APTT 66,4 s (N: 28-30 s), fibrynogen 334 mg/dL (N: 180-350 mg/ dL), D-dimery 417 ng/mL (N: 100-500 ng/mL)?",A,hemofilii.,spowodowanej acenokumarolem.,przewlekłego zespołu wewnątrznaczyniowego wykrzepiania.,zespołu antyfosfolipidowego.,poaspirynowego uszkodzenia płytek krwi.,choroby_wewnętrzne,,hematologia,,99. coagulopathy
,296,Do objawów zespołu hiperkalcemicznego nie należy:,E,nadciśnienie tętnicze.,ostre zapalenie trzustki.,choroba wrzodowa.,śpiączka.,przewodnienie.,choroby_wewnętrzne,,nefrologia,,242. potassium_disorders
,297,Pancytopenia jest definiowana na podstawie:,B,liczby krwinek białych.,wyniku badania morfologii krwi obwodowej.,odsetka komórek CD34+ w bioptacie aspiracyjnym szpiku.,nieobecności komórek blastycznych w mielogramie.,liczby krwinek czerwonych we krwi obwodowej.,choroby_wewnętrzne,,hematologia,,
,298,Do szpitala przywieziony został 45-letni mężczyzna z silnym bólem w klatce piersiowej nieustępującym po nitratach. Ból promieniuje do okolicy lędźwiowej. W wywiadzie wieloletnie nadciśnienie tętnicze źle kontrolowane. W badaniu osłuchowym serca można się spodziewać u tego pacjenta obecności szmeru:,C,rozkurczowego w II międzyżebrzu po stronie lewej.,skurczowego w II międzyżebrzu po stronie lewej.,rozkurczowego w II międzyżebrzu po stronie prawej.,skurczowego w II międzyżebrzu po stronie prawej.,rozkurczowego nad koniuszkiem serca.,choroby_wewnętrzne,,kardiologia,,
,299,Jak należy suplementować dożylnie potas u chorego z kwasicą ketonową?,E,nie należy suplementować potasu dożylnie u chorego z kwasicą ketonową.,"należy suplementować potas dożylnie dopiero wtedy, gdy jego stężenie w surowicy krwi obniży się poniżej 4,0 mmol/l.","należy suplementować potas dożylnie dopiero wtedy, gdy jego stężenie w surowicy krwi obniży się poniżej 3,5 mmol/l.","należy suplementować potas dożylnie dopiero wtedy, gdy jego stężenie w surowicy krwi obniży się poniżej 3,0 mmol/l.","należy rozpocząć suplementację potasu dożylnie nawet, gdy jego stężenie w surowicy krwi jest wyższe niż 4,0 mmol/l.",choroby_wewnętrzne,,endokrynologia,,
,300,Najczęstszą przyczyną zgonów z powodu nowotworów u kobiet jest w Polsce:,A,rak płuca.,rak piersi.,rak szyjki macicy.,rak jajnika.,rak okrężnicy.,choroby_wewnętrzne,,onkologia,,
,301,Występowanie trombofilii jest najbardziej prawdopodobne u chorego:,C,który nie reaguje na leczenie acenokumarolem/warfaryną.,który miał nadmierne krwawienie po ekstrakcji zęba przez stomatologa.,u którego wystąpiła choroba zakrzepowo-zatorowa bez uchwytnych czynników ryzyka.,który miał zawał mięśnia sercowego przed 50. rokiem życia.,który ma tętniaka aorty brzusznej ze skrzepliną przyścienną.,choroby_wewnętrzne,,hematologia,,
,302,"Lekarz lub ratownik medyczny zespołu wyjazdowego pogotowia ratunkowego w przypadku wezwania do chorego, u którego wystąpił niedowład połowiczy lewostronny o nagłym początku i ciśnienie tętnicze wynosiło 180/110 mmHg, po zbadaniu chorego i w razie potrzeby zabezpieczeniu podstawowych czynności życiowych, powinien niezwłocznie:",A,"zebrać wywiad chorobowy (od chorego lub świadków zachorowania) odnośnie do godziny i minut wystąpienia objawów, przebytych chorób oraz ustalić, czy i jakie leki chory pobiera oraz odnotować to w dokumentacji medycznej.","podać kwas acetylosalicylowy w dawce 300 mg doustnie, gdyż najczęstszą przyczyną nagle występujących niedowładów połowiczych jest udar niedokrwienny.","podać kwas acetylosalicylowy w dawce 300 mg doustnie oraz podać heparynę drobnocząsteczkową (np. sól sodową enoksaparyny) w dawce profilaktycznej 20-40 mg podskórnie, ale nie w dawce leczniczej (np. 80 mg), aby nie wyłączyć możliwości leczenia trombolitycznego w późniejszym okresie.",jak najszybciej obniżyć ciśnienie tętnicze do poziomu poniżej 140/90 mmHg podając bloker wapnia (np. nifedypinę 5 mg podjęzykowo) lub lekami dożylnymi np. furosemid 20 mg i.v.,"podać heparynę drobnocząsteczkową (np. sól sodową enoksaparyny) w dawce profilaktycznej 20-40 mg podskórnie, ale nie w dawce leczniczej (np. 80 mg), aby nie wyłączyć możliwości leczenia trombolitycznego w późniejszym okresie.",choroby_wewnętrzne,,kardiologia,,
,303,"Jakie zaburzenia gospodarki wapniowo-fosforanowej występują w przewlekłej chorobie nerek?
1) podwyższone stężenie PTH w surowicy;
2) obniżone stężenie FGF-23 (fosfatonina) w surowicy;
3) obniżone stężenie wapnia;
4) podwyższone stężenie fosforu;
5) podwyższone stężenie 1,25(OH) D .
Prawidłowa odpowiedź to:",A,"1,3,4.","2,3,4.","2,3,5.","1,3,5.","3,4,5.",choroby_wewnętrzne,,nefrologia,przewlekłe choroby nerek,
